PF/C,Jarred Vanderbilt (16336989),Jarred Vanderbilt,16336989,PF/C/F/UTIL,4800,MIN@OKC 02/06/2021 08:00PM ET,MIN,20.75
SF,Trevor Ariza (16337002),Trevor Ariza,16337002,SF/F/UTIL,4800,MIN@OKC 02/06/2021 08:00PM ET,OKC,0
SG/SF,Garrett Temple (16336997),Garrett Temple,16336997,SG/SF/F/G/UTIL,4800,CHI@ORL 02/06/2021 07:00PM ET,CHI,18.39
SF/PF,Taurean Prince (16337007),Taurean Prince,16337007,SF/PF/F/UTIL,4700,MIL@CLE 02/06/2021 08:00PM ET,CLE,19.23
C,James Wiseman (16337005),James Wiseman,16337005,C/UTIL,4700,GS@DAL 02/06/2021 08:30PM ET,GS,23.72
PG/SG,Derrick White (16337011),Derrick White,16337011,PG/SG/G/UTIL,4700,SA@HOU 02/06/2021 08:00PM ET,SA,21.88
SG/SF,Luguentz Dort (16337015),Luguentz Dort,16337015,SG/SF/F/G/UTIL,4700,MIN@OKC 02/06/2021 08:00PM ET,OKC,20.19
SF/PF,Danuel House Jr. (16337027),Danuel House Jr.,16337027,SF/PF/F/UTIL,4600,SA@HOU 02/06/2021 08:00PM ET,HOU,18.32
PG/SG,Nickeil Alexander-Walker (16337020),Nickeil Alexander-Walker,16337020,PG/SG/G/UTIL,4600,MEM@NO 02/06/2021 09:00PM ET,NO,19.70
SF,Josh Hart (16337024),Josh Hart,16337024,SF/F/UTIL,4600,MEM@NO 02/06/2021 09:00PM ET,NO,22.89
SF/PF,Cedi Osman (16337037),Cedi Osman,16337037,SF/PF/F/UTIL,4500,MIL@CLE 02/06/2021 08:00PM ET,CLE,23.65
PG/SG,Jalen Brunson (16337041),Jalen Brunson,16337041,PG/SG/G/UTIL,4500,GS@DAL 02/06/2021 08:30PM ET,DAL,21.17
C,Gorgui Dieng (16337035),Gorgui Dieng,16337035,C/UTIL,4500,MEM@NO 02/06/2021 09:00PM ET,MEM,21.73
SF/PF,Otto Porter Jr. (16337031),Otto Porter Jr.,16337031,SF/PF/F/UTIL,4500,CHI@ORL 02/06/2021 07:00PM ET,CHI,24.53
C,Chris Boucher (16337045),Chris Boucher,16337045,C/UTIL,4400,TOR@ATL 02/06/2021 08:00PM ET,TOR,28.10
SF/PF,Danilo Gallinari (16337051),Danilo Gallinari,16337051,SF/PF/F/UTIL,4400,TOR@ATL 02/06/2021 08:00PM ET,ATL,14.35
SF/PF,Patrick Williams (16337047),Patrick Williams,16337047,SF/PF/F/UTIL,4400,CHI@ORL 02/06/2021 07:00PM ET,CHI,19.25
